ALABAMA;ARIZONA;ARKANSAS;CALIFORNIA;COLORADO;CONNECTICUT;DELAWARE;FLORIDA;GEORGIA;IDAHO;ILLINOIS;INDIANA;IOWA;KANSAS;KENTUCKY;LOUISIANA;MAINE;MARYLAND;MASSACHUSETTS;MICHIGAN;MINNESOTA;MISSISSIPPI;MISSOURI;MONTANA;NEBRASKA;NEVADA;NEW_HAMPSHIRE;NEW_JERSEY;NEW_MEXICO;NEW_YORK;NORTH_CAROLINA;NORTH_DAKOTA;OHIO;OKLAHOMA;OREGON;PENNSYLVANIA;RHODE_ISLAND;SOUTH_CAROLINA;SOUTH_DAKOTA;TENNESSE;TEXAS;UTAH;VERMONT;VIRGINIA;WASHINGTON;WEST_VIRGINIA;WISCONSIN;WYOMING
0;0.2;0;0.2;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0.2;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0;0.333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0;0;0;0;0
0;0;0;0;0;0;0.333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0;0;0;0;0;0.333333333;0;0;0;0;0;0;0;0;0;0;0;0
0;0.2;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0
0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0.2;0;0;0;0;0
0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0.25;0;0;0;0.25;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0;0;0.333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0.2;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0.2;0;0
0;0;0.166666667;0;0.166666667;0;0;0;0;0;0;0;0;0.166666667;0;0;0;0;0;0;0;0;0.166666667;0;0;0;0;0;0.166666667;0;0;0;0;0;0;0;0;0;0;0;0.166666667;0;0;0;0;0;0;0
0;0;0;0.25;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0
0;0;0;0;0;0;0.166666667;0;0;0;0;0;0;0;0;0;0;0.166666667;0;0;0;0;0;0;0;0;0;0.166666667;0;0.166666667;0;0;0.166666667;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;0;0
0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;0;0;0;0;0;0;0;0.166666667;0;0;0.166666667;0.166666667;0;0;0;0;0;0;0.166666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667
0.125;0;0.125;0;0;0;0;0;0.125;0;0;0;0;0;0.125;0;0;0;0;0;0;0.125;0.125;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0
0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.166666667;0;0;0.166666667;0;0;0;0;0.166666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;0;0;0.166666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0;0;0;0;0;0;0;0.333333333;0;0;0.333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.2;0;0
0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0.2;0;0;0;0;0;0;0;0.2;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.25;0;0.25;0;0;0;0;0;0;0.25;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0.166666667;0;0;0;0;0.166666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;0.166666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;0;0;0.166666667;0;0;0;0;0;0
